Flavor,Number of GPUs,GPU Model,GPU Memory (GiB)
g2.large,1,Titan X,12
g3.large,1,GeForce GTX 1080 Ti,11
g5.large,1,GeForce GTX 1080 Ti,11
g5.xlarge,2,GeForce GTX 1080 Ti,11
g5.2xlarge,4,GeForce GTX 1080 Ti,11
g5.4xlarge,8,GeForce GTX 1080 Ti,11
g5.6xlarge,10,GeForce GTX 1080 Ti,11
g7.large,1,Tesla V100,32
g7.xlarge,1,Tesla V100,32
g7.2xlarge,1,Tesla V100,32
g7.4xlarge,2,Tesla V100,32
g7.6xlarge,2,Tesla V100,32
g7.8xlarge,2,Tesla V100,32
g7.fat,2,Tesla V100,32
g8.large,1,Tesla T4,16
g8.xlarge,2,Tesla T4,16
g8.2xlarge,4,Tesla T4,16
g8.4xlarge,8,Tesla T4,16
g11-gpu-1-1,1,GeForce GTX 1080 Ti,11
g11-gpu-2-2,2,GeForce GTX 1080 Ti,11
g11-gpu-4-4,4,GeForce GTX 1080 Ti,11
g11-gpu-8-8,8,GeForce GTX 1080 Ti,11
g11-gpu-10-12,10,GeForce GTX 1080 Ti,11
g12-gpuib-1-8,1,Tesla V100,32
g12-gpuib-1-16,1,Tesla V100,32
g12-gpuib-1-32,1,Tesla V100,32
g12-gpuib-2-16,2,Tesla V100,32
g12-gpuib-2-32,2,Tesla V100,32
g12-gpuib-2-64,2,Tesla V100,32
g13-gpuib-1-10,1,Tesla T4,16
g13-gpuib-2-20,2,Tesla T4,16
g13-gpuib-4-42,4,Tesla T4,16
g13-gpuib-8-86,8,Tesla T4,16
